success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,generalMultiple,PROLIFIC_PID,SESSION_ID,batchId,participant_number,genuine_first,choose_pretender,total_points,pretend_instructions,nonpretend_instructions,view_history,rt,responses,question_order,correct,test_part,grid,click_log,final_grid_state,num_clicks,points,cheat,grid_number,replay_log,decision,genuine_player,cheat_player,cheater,noncheater
,Battleships,10,232453,0.0-5.0-0.2,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,non-pretend,"[['0', '0', '0', '0', 'B'], ['A', 'A', 'A', '0', 'B'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', '0', '0']]","{'i': [2, 2, 1, 1, 1, 0, 0, 1, 3, 4, 4, 3, 2, 3, 1, 0], 'j': [1, 2, 3, 1, 2, 2, 1, 0, 1, 1, 3, 3, 3, 2, 4, 4], 't': [625, 1269, 1993, 2709, 3564, 4335, 4778, 5298, 6291, 7026, 7626, 8310, 9118, 9483, 10614, 11091], 'hit': ['0', '0', '0', 'A', 'A', '0', '0', 'A', '0', '0', '0', 'C', 'C', '0', 'B', 'B']}","[['unknown', 'sea', 'sea', 'unknown', 'ship'], ['ship', 'ship', 'ship', 'sea', 'ship'], ['unknown', 'sea', 'sea', 'ship', 'unknown'], ['unknown', 'sea', 'sea', 'ship', 'unknown'], ['unknown', 'sea', 'unknown', 'sea', 'unknown']]",16.0,9.0,0.0,4.0,,,,,,
,instructions,11,233284,0.0-5.0-1.2,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":827}]",828.0,,,,,,,,,,,,,,,,,
,Battleships,12,252970,0.0-5.0-0.3,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,non-pretend,"[['0', '0', '0', 'B', '0'], ['0', '0', '0', 'B', '0'], ['C', 'C', '0', '0', 'A'], ['0', '0', '0', '0', 'A'], ['0', '0', '0', '0', 'A']]","{'i': [1, 2, 3, 3, 4, 3, 2, 3, 1, 2, 0, 0, 0, 1, 2, 3, 4, 2], 'j': [1, 2, 2, 3, 1, 1, 0, 0, 0, 1, 4, 3, 2, 3, 3, 4, 4, 4], 't': [885, 1649, 2067, 2501, 3553, 4067, 4885, 5483, 6027, 7217, 8517, 8999, 9686, 10599, 11017, 13283, 13989, 17605], 'hit': ['0', '0', '0', '0', '0', '0', 'C', '0', '0', 'C', '0', 'B', '0', 'B', '0', 'A', 'A', 'A']}","[['unknown', 'unknown', 'sea', 'ship', 'sea'], ['sea', 'sea', 'unknown', 'ship', 'unknown'], ['ship', 'ship', 'sea', 'sea', 'ship'], ['sea', 'sea', 'sea', 'sea', 'ship'], ['unknown', 'sea', 'unknown', 'unknown', 'ship']]",18.0,7.0,0.0,6.0,,,,,,
,instructions,13,254568,0.0-5.0-1.3,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":1594}]",1595.0,,,,,,,,,,,,,,,,,
,Battleships,14,267868,0.0-5.0-0.4,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,non-pretend,"[['B', 'B', '0', '0', '0'], ['0', '0', '0', '0', '0'], ['A', 'A', 'A', '0', '0'], ['0', '0', '0', '0', '0'], ['0', '0', '0', 'C', 'C']]","{'i': [1, 2, 3, 2, 2, 2, 0, 0, 0, 0, 4, 4, 4], 'j': [1, 2, 3, 3, 1, 0, 3, 4, 1, 0, 2, 3, 4], 't': [1136, 1896, 2601, 3079, 3617, 4306, 5561, 6196, 6796, 7762, 8711, 9238, 10065], 'hit': ['0', 'A', '0', '0', 'A', 'A', '0', '0', 'B', 'B', '0', 'C', 'C']}","[['ship', 'ship', 'unknown', 'sea', 'sea'], ['unknown', 'sea', 'unknown', 'unknown', 'unknown'], ['ship', 'ship', 'ship', 'sea', 'unknown'], ['unknown', 'unknown', 'unknown', 'sea', 'unknown'], ['unknown', 'unknown', 'sea', 'ship', 'ship']]",13.0,12.0,0.0,2.0,,,,,,
,instructions,15,271502,0.0-5.0-1.4,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":3631}]",3631.0,,,,,,,,,,,,,,,,,
,instructions,16,324651,0.0-6.0-0.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":4852},{""page_index"":1,""viewing_time"":9425},{""page_index"":2,""viewing_time"":24603},{""page_index"":3,""viewing_time"":14267}]",53147.0,,,,,,,,,,,,,,,,,
,survey-multi-choice,17,336975,0.0-6.0-1.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,12323.0,"{""Q0"":""... play the game as if the cross hints <b>were not there</b> so that I look like someone who <b>had no hints</b>""}",[0],1.0,multichoice_pretend,,,,,,,,,,,,,
,Battleships,18,356030,0.0-7.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,,"[['0', '0', '0', '0'], ['0', '0', 'B', '0'], ['0', '0', 'B', '0'], ['A', 'A', '0', '0']]","{'i': [1, 2, 0, 2, 3, 1, 1, 3, 3], 'j': [1, 1, 2, 2, 2, 2, 0, 0, 1], 't': [6812, 7593, 8434, 9364, 10835, 11608, 14931, 16329, 16826], 'hit': ['0', '0', '0', 'B', '0', 'B', '0', 'A', 'A']}","[['unknown', 'unknown', 'sea', 'unknown'], ['sea', 'sea', 'ship', 'unknown'], ['unknown', 'sea', 'ship', 'unknown'], ['ship', 'ship', 'sea', 'unknown']]",9.0,7.0,1.0,,,,,,,
,instructions,19,364813,0.0-8.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":8781}]",8782.0,,,,,,,,,,,,,,,,,
,Battleships,20,392046,0.0-9.0-0.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,pretend,"[['C', 'C', '0', '0', '0'], ['0', '0', '0', '0', '0'], ['B', 'B', '0', 'A', '0'], ['0', '0', '0', 'A', '0'], ['0', '0', '0', 'A', '0']]","{'i': [1, 2, 1, 3, 3, 3, 4, 4, 4, 2, 3, 1, 2, 3, 2, 0, 0, 0], 'j': [2, 2, 1, 2, 3, 1, 1, 2, 3, 3, 4, 4, 1, 0, 0, 3, 1, 0], 't': [2879, 3316, 4796, 5812, 6487, 8702, 9036, 10414, 10696, 12863, 15999, 16512, 17313, 18449, 18795, 20695, 21287, 25162], 'hit': ['0', '0', '0', '0', 'A', '0', '0', '0', 'A', 'A', '0', '0', 'B', '0', 'B', '0', 'C', 'C']}","[['ship', 'ship', 'unknown', 'sea', 'unknown'], ['unknown', 'sea', 'sea', 'unknown', 'sea'], ['ship', 'ship', 'sea', 'ship', 'unknown'], ['sea', 'sea', 'sea', 'ship', 'sea'], ['unknown', 'sea', 'sea', 'ship', 'unknown']]",18.0,7.0,1.0,1.0,,,,,,
,instructions,21,397260,0.0-9.0-1.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":5211}]",5211.0,,,,,,,,,,,,,,,,,
,Battleships,22,413028,0.0-9.0-0.1,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,pretend,"[['0', '0', '0', '0', 'B'], ['0', '0', '0', '0', 'B'], ['0', 'A', 'A', 'A', '0'], ['0', '0', '0', '0', '0'], ['0', '0', 'C', 'C', '0']]","{'i': [3, 2, 1, 1, 2, 2, 2, 2, 3, 4, 4, 4, 4, 0, 0, 0, 0, 1], 'j': [3, 2, 1, 3, 3, 4, 1, 0, 1, 1, 2, 4, 3, 1, 2, 4, 3, 4], 't': [1460, 1824, 2261, 3281, 4099, 5015, 5460, 6758, 7174, 7625, 8275, 8808, 9399, 11253, 11542, 12374, 13358, 13684], 'hit': ['0', 'A', '0', '0', 'A', '0', 'A', '0', '0', '0', 'C', '0', 'C', '0', '0', 'B', '0', 'B']}","[['unknown', 'sea', 'sea', 'sea', 'ship'], ['unknown', 'sea', 'unknown', 'sea', 'ship'], ['sea', 'ship', 'ship', 'ship', 'sea'], ['unknown', 'sea', 'unknown', 'sea', 'unknown'], ['unknown', 'sea', 'ship', 'ship', 'sea']]",18.0,7.0,1.0,3.0,,,,,,
,instructions,23,417765,0.0-9.0-1.1,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":4735}]",4735.0,,,,,,,,,,,,,,,,,
,Battleships,24,441177,0.0-9.0-0.2,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,pretend,"[['0', '0', '0', 'C', '0'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', '0', '0'], ['A', 'A', 'A', '0', '0'], ['0', '0', '0', 'B', 'B']]","{'i': [3, 1, 1, 3, 2, 2, 1, 3, 1, 3, 3, 4, 4, 4, 4, 0, 0], 'j': [1, 1, 3, 3, 2, 3, 4, 4, 0, 0, 2, 1, 3, 2, 4, 2, 3], 't': [1433, 2024, 2530, 2979, 4064, 6231, 6819, 7201, 7852, 8198, 12956, 13900, 15731, 17633, 18016, 19031, 21346], 'hit': ['A', '0', 'C', '0', '0', '0', '0', '0', '0', 'A', 'A', '0', 'B', '0', 'B', '0', 'C']}","[['unknown', 'unknown', 'sea', 'ship', 'unknown'], ['sea', 'sea', 'unknown', 'ship', 'sea'], ['unknown', 'unknown', 'sea', 'sea', 'unknown'], ['ship', 'ship', 'ship', 'sea', 'sea'], ['unknown', 'sea', 'sea', 'ship', 'ship']]",17.0,8.0,1.0,7.0,,,,,,
,instructions,25,442936,0.0-9.0-1.2,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":1755}]",1755.0,,,,,,,,,,,,,,,,,
,Battleships,26,458109,0.0-9.0-0.3,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,pretend,"[['B', 'B', '0', '0', '0'], ['0', '0', '0', '0', '0'], ['A', 'A', 'A', '0', '0'], ['0', '0', '0', '0', '0'], ['0', '0', '0', 'C', 'C']]","{'i': [2, 2, 1, 3, 3, 3, 2, 4, 4, 2, 4, 2, 0, 1, 0, 4, 0], 'j': [2, 3, 1, 3, 2, 1, 1, 2, 3, 4, 4, 0, 3, 3, 1, 0, 0], 't': [861, 1190, 1507, 1906, 2239, 2565, 2860, 3579, 3895, 5339, 6032, 7825, 8878, 9890, 10562, 12673, 13113], 'hit': ['A', '0', '0', '0', '0', '0', 'A', '0', 'C', '0', 'C', 'A', '0', '0', 'B', '0', 'B']}","[['ship', 'ship', 'unknown', 'sea', 'unknown'], ['unknown', 'sea', 'unknown', 'sea', 'unknown'], ['ship', 'ship', 'ship', 'sea', 'sea'], ['unknown', 'sea', 'sea', 'sea', 'unknown'], ['sea', 'unknown', 'sea', 'ship', 'ship']]",17.0,8.0,1.0,2.0,,,,,,
,instructions,27,459306,0.0-9.0-1.3,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":1195}]",1195.0,,,,,,,,,,,,,,,,,
,Battleships,28,474408,0.0-9.0-0.4,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,,pretend,"[['0', '0', '0', '0', '0'], ['0', '0', '0', '0', '0'], ['C', '0', '0', '0', 'A'], ['C', '0', 'B', '0', 'A'], ['0', '0', 'B', '0', 'A']]","{'i': [2, 2, 1, 3, 4, 3, 1, 1, 1, 2, 3, 4, 4, 3, 4, 0, 0, 2, 1, 3], 'j': [2, 1, 1, 3, 3, 1, 3, 2, 4, 4, 4, 4, 1, 2, 2, 2, 1, 0, 0, 0], 't': [839, 1137, 1414, 1913, 2279, 2814, 3614, 3962, 4347, 4746, 6121, 6480, 8331, 8798, 9111, 10352, 10637, 11553, 12630, 13038], 'hit': ['0', '0', '0', '0', '0', '0', '0', '0', '0', 'A', 'A', 'A', '0', 'B', 'B', '0', '0', 'C', '0', 'C']}","[['unknown', 'sea', 'sea', 'unknown', 'unknown'], ['sea', 'sea', 'sea', 'sea', 'sea'], ['ship', 'sea', 'sea', 'unknown', 'ship'], ['ship', 'sea', 'ship', 'sea', 'ship'], ['unknown', 'sea', 'ship', 'sea', 'ship']]",20.0,5.0,1.0,5.0,,,,,,
,instructions,29,475442,0.0-9.0-1.4,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":1031}]",1031.0,,,,,,,,,,,,,,,,,
,instructions,30,504755,0.0-10.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":10485},{""page_index"":1,""viewing_time"":18827}]",29312.0,,,,,,,,,,,,,,,,,
,Battleships_replay_2players,31,556602,0.0-11.0-0.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,0.0,judge,"[['0', '0', '0', '0', 'B'], ['0', '0', '0', '0', 'B'], ['0', 'A', 'A', 'A', '0'], ['0', '0', '0', '0', '0'], ['0', '0', 'C', 'C', '0']]",,,,,,3.0,"['left', 'right']",right,331.0,336.0,left,right
,instructions,32,563737,0.0-11.0-1.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":7133}]",7133.0,,,,,,,,,,,,,,,,,
,Battleships_replay_2players,33,616395,0.0-11.0-0.1,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,1.0,judge,"[['0', '0', '0', '0', '0'], ['0', '0', '0', '0', 'A'], ['0', 'B', 'B', '0', 'A'], ['0', '0', '0', '0', 'A'], ['C', 'C', '0', '0', '0']]",,,,,,0.0,"['left', 'right']",right,326.0,333.0,right,left
,instructions,34,619504,0.0-11.0-1.1,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":3108}]",3108.0,,,,,,,,,,,,,,,,,
,Battleships_replay_2players,35,664376,0.0-11.0-0.2,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,0.0,judge,"[['0', '0', '0', '0', 'B'], ['A', 'A', 'A', '0', 'B'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', '0', '0']]",,,,,,4.0,"['left', 'right']",left,334.0,329.0,right,left
,instructions,36,666440,0.0-11.0-1.2,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":2064}]",2064.0,,,,,,,,,,,,,,,,,
,Battleships_replay_2players,37,713491,0.0-11.0-0.3,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,1.0,judge,"[['C', 'C', '0', '0', '0'], ['0', '0', '0', '0', '0'], ['B', 'B', '0', 'A', '0'], ['0', '0', '0', 'A', '0'], ['0', '0', '0', 'A', '0']]",,,,,,1.0,"['left', 'right']",left,331.0,338.0,left,right
,instructions,38,714918,0.0-11.0-1.3,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":1424}]",1424.0,,,,,,,,,,,,,,,,,
,Battleships_replay_2players,39,778405,0.0-11.0-0.4,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,,,,0.0,judge,"[['B', 'B', '0', '0', '0'], ['0', '0', '0', '0', '0'], ['A', 'A', 'A', '0', '0'], ['0', '0', '0', '0', '0'], ['0', '0', '0', 'C', 'C']]",,,,,,2.0,"['left', 'right']",left,338.0,336.0,right,left
,instructions,40,779608,0.0-11.0-1.4,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":1201}]",1201.0,,,,,,,,,,,,,,,,,
,survey-text,41,805659,0.0-12.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,26041.0,"{""debrief"":""No strategy, I just tried to fill a lot of squares but not make it obvious, so about half way unclicked squares.""}",,,,,,,,,,,,,,,,
,survey-text,42,837722,0.0-13.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,,32056.0,"{""worker_comments"":""I think this was great. I feel as though those who were told to not make it seem like they had hints actually had more clicks than people who didn't have any hints; they'd purposely use extra clicks to make it seem like they didn't have any.""}",,,,,,,,,,,,,,,,
,instructions,43,847786,0.0-14.0,61814837a8ff57d06daa2c8c,,615734b16b50355d4521f849,6182caef440a724f328c5484,3016,348,True,True,58,1,1,"[{""page_index"":0,""viewing_time"":10063}]",10063.0,,,,,,,,,,,,,,,,,
1.0,fullscreen,0,2938,0.0-0.0,61814837a8ff57d06daa2c8c,,6154c002d34228fc7357c6ef,6182caef316172232d8a5cbb,3016,346,True,False,71,1,1,,,,,,,,,,,,,,,,,,,
,instructions,1,36407,0.0-1.0-0.0,61814837a8ff57d06daa2c8c,,6154c002d34228fc7357c6ef,6182caef316172232d8a5cbb,3016,346,True,False,71,1,1,"[{""page_index"":0,""viewing_time"":4384.79999999702},{""page_index"":1,""viewing_time"":4297.29999999702},{""page_index"":2,""viewing_time"":9830.20000000298},{""page_index"":3,""viewing_time"":14950.79999999702}]",33464.29999999702,,,,,,,,,,,,,,,,,
,survey-multi-choice,2,40464,0.0-1.0-1.0,61814837a8ff57d06daa2c8c,,6154c002d34228fc7357c6ef,6182caef316172232d8a5cbb,3016,346,True,False,71,1,1,,4053.60000000149,"{""Q0"":""... sink all ships with as <b>few clicks</b> as possible""}",[0],1.0,multichoice_nonpretend,,,,,,,,,,,,,
,instructions,3,44790,0.0-2.0,61814837a8ff57d06daa2c8c,,6154c002d34228fc7357c6ef,6182caef316172232d8a5cbb,3016,346,True,False,71,1,1,"[{""page_index"":0,""viewing_time"":4323.60000000149}]",4324.0,,,,,,,,,,,,,,,,,
,Battleships,4,66235,0.0-3.0,61814837a8ff57d06daa2c8c,,6154c002d34228fc7357c6ef,6182caef316172232d8a5cbb,3016,346,True,False,71,1,1,,,,,,,"[['0', '0', '0', '0'], ['A', '0', 'B', 'B'], ['A', '0', '0', '0'], ['0', '0', '0', '0']]","{'i': [0, 0, 2, 2, 0, 1, 1, 3, 3, 3, 2, 2, 1], 'j': [0, 1, 2, 3, 3, 3, 2, 1, 0, 2, 0, 1, 0], 't': [1922.6000000014901, 2972, 5097.4000000059605, 5514.10000000149, 8313.10000000149, 8825.90000000596, 10838.80000000447, 13490.80000000447, 14011.5, 15157.5, 17067.20000000298, 17563.40000000596, 19022.60000000149], 'hit': ['0', '0', '0', '0', '0', 'B', 'B', '0', '0', '0', 'A', '0', 'A']}","[['sea', 'sea', 'unknown', 'sea'], ['ship', 'unknown', 'ship', 'ship'], ['ship', 'sea', 'sea', 'sea'], ['sea', 'sea', 'sea', 'unknown']]",13.0,3.0,0.0,,,,,,,
,instructions,5,74218,0.0-4.0,61814837a8ff57d06daa2c8c,,6154c002d34228fc7357c6ef,6182caef316172232d8a5cbb,3016,346,True,False,71,1,1,"[{""page_index"":0,""viewing_time"":7980.79999999702}]",7981.20000000298,,,,,,,,,,,,,,,,,
,Battleships,6,118575,0.0-5.0-0.0,61814837a8ff57d06daa2c8c,,6154c002d34228fc7357c6ef,6182caef316172232d8a5cbb,3016,346,True,False,71,1,1,,,,,,non-pretend,"[['0', '0', '0', '0', 'B'], ['A', 'A', 'A', '0', 'B'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', 'C', '0'], ['0', '0', '0', '0', '0']]","{'i': [0, 1, 2, 1, 1, 1, 4, 4, 0, 1, 2, 3, 4, 4, 3, 3, 4, 2], 'j': [0, 1, 1, 2, 3, 0, 4, 0, 4, 4, 4, 2, 1, 2, 3, 4, 3, 3], 't': [2455.7999999970198, 4237.70000000298, 5823.70000000298, 6779.79999999702, 7883.20000000298, 9039.29999999702, 14181.5, 15370.60000000149, 16419.89999999851, 17805.39999999851, 18686.29999999702, 22086.79999999702, 23604.39999999851, 24205.29999999702, 39272.29999999702, 39803.60000000149, 41248.89999999851, 41974.39999999851], 'hit': ['0', 'A', '0', 'A', '0', 'A', '0', '0', 'B', 'B', '0', '0', '0', '0', 'C', '0', '0', 'C']}","[['sea', 'unknown', 'unknown', 'unknown', 'ship'], ['ship', 'ship', 'ship', 'sea', 'ship'], ['unknown', 'sea', 'unknown', 'ship', 'sea'], ['unknown', 'unknown', 'sea', 'ship', 'sea'], ['sea', 'sea', 'sea', 'sea', 'sea']]",18.0,7.0,0.0,4.0,,,,,,
